question,r2_cv,mse_cv
agitated_p4w,-0.0331035818843966,0.001649505074547
calmn_p4w,-0.4171442923187433,0.0036903040322359
econ_p12m,-0.0234671009180962,0.001900928239789
environ_p12m,0.1107525352375396,0.0063901815841037
exp_life_n5y,-4.93291717809655,0.0298385896632189
happy_p4w,-2.124376041307246,0.0059663891117146
nocheer_p4w,-0.2950891685726098,0.0022222171774357
sad_p4w,-0.1523341186640857,0.0021066637036516
sat_econ_p12m,-0.47661223196219,0.0064370825874843
sat_family_p12m,-0.5435356807841465,0.0016032065047158
sat_friends_p12m,-2.1870477864818074,0.0058896807435984
sat_health_p12m,-3.5380476202210125,0.0102285129928275
sat_leisure_p12m,-1.2709874400636,0.0070862672666666
sat_life,-0.8792947029924175,0.0025639240058419
